Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
8.2970,GROUND,0.6875,0.0392,9.6890,-0.3138,-0.0400,9.2400,0.1800,0.0300,-0.5400,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0799,0.5080,0.3764,-0.2500
8.3324,GROUND,0.3750,0.0392,9.6890,-0.2746,-0.0400,9.2200,0.1800,0.0000,-0.5700,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0811,0.4937,0.3821,-0.2500
8.3676,GROUND,-0.1250,0.0392,9.7282,-0.3138,-0.0500,9.2300,0.1300,0.0000,-0.5700,-0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0574,0.1730,0.0685,-0.2500
8.4032,GROUND,0.9375,0.0392,9.6890,-0.3138,-0.0300,9.2500,0.1900,0.0000,-0.5500,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0724,0.6999,0.6195,-0.2500
8.4394,GROUND,-0.3125,0.0000,9.6890,-0.3923,-0.0400,9.2600,0.1400,0.0000,-0.5400,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,-317.8800,0.1600,-0.0784,0.1281,0.0406,-0.2500
8.4738,GROUND,-0.3125,0.0000,9.6890,-0.3138,-0.0200,9.2500,0.1500,0.0100,-0.5500,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0806,-0.0923,-0.1806,-0.2500
8.5095,GROUND,-0.6875,0.0392,9.6890,-0.3138,-0.0400,9.2600,0.1600,0.0000,-0.5300,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0814,-0.4007,-0.5018,-0.2500
8.5449,GROUND,-0.1875,0.0392,9.7282,-0.3923,-0.0400,9.2300,0.1600,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0574,-0.2069,-0.3087,-0.2500
8.5795,GROUND,-1.0625,0.0000,9.6890,-0.2746,-0.0400,9.2400,0.1900,0.0000,-0.5500,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0726,-0.6581,-0.7870,-0.2500
8.6147,GROUND,-1.1875,0.0392,9.7282,-0.2746,-0.0400,9.2300,0.1600,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0541,-0.8879,-1.0483,-0.2500
